Survey,Blooming,Date,Year,Site_Code,Orchard_Block,Time,Time_Hour,Treatment,Section,Distance,Temperature,Humidity,Wind_Speed
Beat_sampling,Post-Anthesis,5/17/2017,Year_1,Site_code_5,Orchard_block_9,10:30,10.5,CS,0,0,12.2,82.8,0.4
Beat_sampling,Post-Anthesis,5/17/2017,Year_1,Site_code_5,Orchard_block_9,,10.5,CS,1,10,12.7,80.4,0.4
Beat_sampling,Post-Anthesis,5/17/2017,Year_1,Site_code_5,Orchard_block_9,,10.5,CS,2,29,13.4,78.4,0.3
Beat_sampling,Post-Anthesis,5/17/2017,Year_1,Site_code_5,Orchard_block_9,,10.5,CS,3,48,12.9,79.5,0.6
Beat_sampling,Post-Anthesis,5/17/2017,Year_1,Site_code_5,Orchard_block_9,,10.5,CS,4,67,13.1,77.6,0
Beat_sampling,Post-Anthesis,5/17/2017,Year_1,Site_code_5,Orchard_block_9,11:00,11,AMWS,0,0,10.3,86,0
Beat_sampling,Post-Anthesis,5/17/2017,Year_1,Site_code_5,Orchard_block_9,,11,AMWS,1,10,11.4,84.7,0.2
Beat_sampling,Post-Anthesis,5/17/2017,Year_1,Site_code_5,Orchard_block_9,,11,AMWS,2,29,12.1,83.6,0
Beat_sampling,Post-Anthesis,5/17/2017,Year_1,Site_code_5,Orchard_block_9,,11,AMWS,3,48,12,82,0
Beat_sampling,Post-Anthesis,5/17/2017,Year_1,Site_code_5,Orchard_block_9,,11,AMWS,4,67,11.7,80.5,0
Beat_sampling,Post-Anthesis,5/17/2017,Year_1,Site_code_5,Orchard_block_9,11:30,11.5,SWS,0,0,13.1,74.5,0
Beat_sampling,Post-Anthesis,5/17/2017,Year_1,Site_code_5,Orchard_block_9,,11.5,SWS,1,10,13.4,78.6,0
Beat_sampling,Post-Anthesis,5/17/2017,Year_1,Site_code_5,Orchard_block_9,,11.5,SWS,2,29,12.7,80,0.4
Beat_sampling,Post-Anthesis,5/17/2017,Year_1,Site_code_5,Orchard_block_9,,11.5,SWS,3,48,13.7,77.8,0
Beat_sampling,Post-Anthesis,5/17/2017,Year_1,Site_code_5,Orchard_block_9,,11.5,SWS,4,67,13.3,77.4,0
Beat_sampling,Post-Anthesis,5/17/2017,Year_1,Site_code_5,Orchard_block_10,12:00,12,SWS,0,0,14.4,73.3,0
Beat_sampling,Post-Anthesis,5/17/2017,Year_1,Site_code_5,Orchard_block_10,,12,SWS,1,10,14.5,71.5,0
